year,month,ym,sido_name,resp_total,pm25_mean,pm10_mean,pm25_p90,pm10_p90,pm25_alert_days,pm10_alert_days,t_mean_month,rh_mean_month,precip_sum_month,wind_mean_month,population,resp_rate_total
2018,1,2018-01,강원,74388,21.736559139784948,41.50537634408602,39.75,70.75,5.0,0.0,-3.88,48.4,4.2,2.44,1548078,4805.184234902893
2018,2,2018-02,강원,43440,19.72023809523809,44.38095238095239,32.608333333333334,65.69166666666666,1.0,0.0,-2.22,46.8,42.7,2.4799999999999995,1546259,2809.361174292276
2018,3,2018-03,강원,41909,19.137096774193548,41.64247311827957,32.916666666666664,74.25,2.0,0.0,7.0,59.8,61.66,2.48,1546152,2710.5355747688454
2018,4,2018-04,강원,42312,17.313888888888886,48.87500000000001,25.000000000000004,82.05000000000001,0.0,1.0,12.24,56.2,134.78,2.54,1545452,2737.839803500853
2018,5,2018-05,강원,39729,15.1505376344086,37.6478494623656,25.33333333333333,62.75,0.0,0.0,16.259999999999998,70.0,180.54,2.18,1545291,2570.9720693383965
2018,6,2018-06,강원,29648,13.777777777777777,31.286111111111108,21.85,46.425,0.0,0.0,21.54,66.8,80.9,1.86,1544843,1919.1594226727248
2018,7,2018-07,강원,24995,11.435483870967742,24.169354838709676,20.58333333333333,37.25,0.0,0.0,25.4,77.0,189.0,1.8,1544258,1618.576688610323
2018,8,2018-08,강원,23598,8.35483870967742,20.056451612903224,12.583333333333334,27.58333333333333,0.0,0.0,25.52,78.0,446.88,1.7600000000000002,1543668,1528.6965850169856
2018,9,2018-09,강원,33395,7.294871794871796,19.056410256410256,11.892307692307693,29.192307692307693,0.0,0.0,18.74,75.0,128.04000000000002,1.66,1543780,2163.1968285636553
2018,10,2018-10,강원,42540,7.928039702233251,20.789081885856078,12.76923076923077,29.384615384615383,0.0,0.0,11.4,68.2,176.2,1.94,1543441,2756.1792125516945
2018,11,2018-11,강원,46933,17.246153846153845,41.17179487179487,24.184615384615384,64.34615384615384,0.0,2.0,6.859999999999999,65.4,83.52000000000001,1.64,1543556,3040.5764351925036
2018,12,2018-12,강원,62007,13.921146953405016,31.03225806451613,21.5,45.388888888888886,0.0,0.0,-0.92,52.6,19.28,2.04,1543052,4018.464705013182
2019,1,2019-01,강원,47237,25.375876577840117,46.80645161290322,36.17391304347826,59.52173913043478,5.0,1.0,-1.2399999999999998,46.0,5.5600000000000005,2.24,1541693,3063.9692857138225
2019,2,2019-02,강원,33481,28.2842261904762,46.49107142857143,42.1,66.28333333333335,5.0,0.0,0.86,53.6,23.28,1.98,1540445,2173.4628630038724
2019,3,2019-03,강원,40521,33.88440860215054,53.18145161290322,54.625,80.20833333333333,11.0,2.0,6.26,56.6,44.8,2.24,1540488,2630.4002368080764
2019,4,2019-04,강원,47823,15.52,34.65333333333333,22.14,51.724,0.0,0.0,10.78,56.6,64.28,2.08,1540794,3103.789344974085
2019,5,2019-05,강원,41282,21.45161290322581,44.335483870967735,30.32,59.44,1.0,0.0,18.7,50.4,10.66,2.26,1540776,2679.299262189961
2019,6,2019-06,강원,28373,16.302666666666664,27.604,24.480000000000004,40.64800000000001,0.0,0.0,20.380000000000003,71.6,108.56,1.6800000000000002,1540855,1841.3802726408392
2019,7,2019-07,강원,26914,13.69935483870968,24.80516129032258,21.52,35.28,0.0,0.0,24.3,76.6,202.94,1.8,1540714,1746.8524333523287
2019,8,2019-08,강원,24844,13.725161290322582,25.215483870967745,20.88,31.96,0.0,0.0,25.12,76.6,219.7,1.72,1540780,1612.4300678876932
2019,9,2019-09,강원,32853,8.774666666666667,19.81066666666667,13.52,26.664,0.0,0.0,20.24,79.2,201.68,1.46,1540721,2132.3133779574628
2019,10,2019-10,강원,41546,11.849032258064517,26.538064516129023,18.12,32.08,0.0,0.0,14.48,73.0,197.8,1.66,1540897,2696.2217461647338
2019,11,2019-11,강원,43337,15.822666666666668,32.68,23.532,45.224000000000025,1.0,0.0,7.040000000000001,65.8,95.5,1.7,1541399,2811.5367922257637
