date,year,month,ym,sido_name,y_hat,base_daily,w_today,y_day_hat,risk_score,risk_level
2024-01-01,2024,1,2024-01,강원,2863.3165969341007,92.36505151400326,1.2,110.8380618168039,100.0,Very High
2024-01-01,2024,1,2024-01,경기,2863.3165969341007,92.36505151400326,1.2,110.8380618168039,100.0,Very High
2024-01-01,2024,1,2024-01,경남,2863.3165969341007,92.36505151400326,1.2,110.8380618168039,100.0,Very High
2024-01-01,2024,1,2024-01,경북,2863.3165969341007,92.36505151400326,1.2,110.8380618168039,100.0,Very High
2024-01-01,2024,1,2024-01,광주,2863.3165969341007,92.36505151400326,1.2,110.8380618168039,100.0,Very High
2024-01-01,2024,1,2024-01,대구,2351.5980852932344,75.85800275139465,1.2,91.02960330167357,97.62336951056352,Very High
2024-01-01,2024,1,2024-01,대전,2863.3165969341007,92.36505151400326,1.2,110.8380618168039,100.0,Very High
2024-01-01,2024,1,2024-01,부산,2863.3165969341007,92.36505151400326,1.2,110.8380618168039,100.0,Very High
2024-01-01,2024,1,2024-01,서울,2863.3165969341007,92.36505151400326,1.2,110.8380618168039,100.0,Very High
2024-01-01,2024,1,2024-01,세종,2863.3165969341007,92.36505151400326,1.2,110.8380618168039,100.0,Very High
2024-01-01,2024,1,2024-01,울산,2863.3165969341007,92.36505151400326,1.2,110.8380618168039,100.0,Very High
2024-01-01,2024,1,2024-01,인천,2863.3165969341007,92.36505151400326,1.2,110.8380618168039,100.0,Very High
2024-01-01,2024,1,2024-01,전북,2863.3165969341007,92.36505151400326,1.2,110.8380618168039,100.0,Very High
2024-01-01,2024,1,2024-01,제주,2863.3165969341007,92.36505151400326,1.2,110.8380618168039,100.0,Very High
2024-01-01,2024,1,2024-01,충남,2863.3165969341007,92.36505151400326,1.2,110.8380618168039,100.0,Very High
2024-01-01,2024,1,2024-01,충북,2863.3165969341007,92.36505151400326,1.2,110.8380618168039,100.0,Very High
2024-02-01,2024,2,2024-02,강원,2863.3165969341007,98.73505506669314,1.2,118.48206608003176,100.0,Very High
2024-02-01,2024,2,2024-02,경기,2351.5980852932344,81.08958914804256,1.2,97.30750697765107,100.0,Very High
2024-02-01,2024,2,2024-02,경남,2863.3165969341007,98.73505506669314,1.2,118.48206608003176,100.0,Very High
2024-02-01,2024,2,2024-02,경북,2863.3165969341007,98.73505506669314,1.2,118.48206608003176,100.0,Very High
2024-02-01,2024,2,2024-02,광주,2351.5980852932344,81.08958914804256,1.2,97.30750697765107,100.0,Very High
2024-02-01,2024,2,2024-02,대구,2351.5980852932344,81.08958914804256,1.2,97.30750697765107,100.0,Very High
2024-02-01,2024,2,2024-02,대전,2351.5980852932344,81.08958914804256,1.2,97.30750697765107,100.0,Very High
2024-02-01,2024,2,2024-02,부산,2863.3165969341007,98.73505506669314,1.2,118.48206608003176,100.0,Very High
2024-02-01,2024,2,2024-02,서울,2351.5980852932344,81.08958914804256,1.2,97.30750697765107,100.0,Very High
2024-02-01,2024,2,2024-02,세종,2351.5980852932344,81.08958914804256,1.2,97.30750697765107,100.0,Very High
2024-02-01,2024,2,2024-02,울산,2863.3165969341007,98.73505506669314,1.2,118.48206608003176,100.0,Very High
2024-02-01,2024,2,2024-02,인천,2351.5980852932344,81.08958914804256,1.2,97.30750697765107,100.0,Very High
2024-02-01,2024,2,2024-02,전남,2863.3165969341007,98.73505506669314,1.2,118.48206608003176,100.0,Very High
