year,month,ym,sido_name,resp_total
2018,1,2018-01,강원,74388
2018,2,2018-02,강원,43440
2018,3,2018-03,강원,41909
2018,4,2018-04,강원,42312
2018,5,2018-05,강원,39729
2018,6,2018-06,강원,29648
2018,7,2018-07,강원,24995
2018,8,2018-08,강원,23598
2018,9,2018-09,강원,33395
2018,10,2018-10,강원,42540
2018,11,2018-11,강원,46933
2018,12,2018-12,강원,62007
2019,1,2019-01,강원,47237
2019,2,2019-02,강원,33481
2019,3,2019-03,강원,40521
2019,4,2019-04,강원,47823
2019,5,2019-05,강원,41282
2019,6,2019-06,강원,28373
2019,7,2019-07,강원,26914
2019,8,2019-08,강원,24844
2019,9,2019-09,강원,32853
2019,10,2019-10,강원,41546
2019,11,2019-11,강원,43337
2019,12,2019-12,강원,49916
2020,1,2020-01,강원,58003
2020,2,2020-02,강원,36822
2020,3,2020-03,강원,22762
2020,4,2020-04,강원,17672
2020,5,2020-05,강원,20738
2020,6,2020-06,강원,20477
2020,7,2020-07,강원,20768
2020,8,2020-08,강원,17036
2020,9,2020-09,강원,19153
2020,10,2020-10,강원,22753
2020,11,2020-11,강원,25766
2020,12,2020-12,강원,21012
2021,1,2021-01,강원,15023
2021,2,2021-02,강원,15294
2021,3,2021-03,강원,20394
2021,4,2021-04,강원,21852
2021,5,2021-05,강원,20796
2021,6,2021-06,강원,17788
2021,7,2021-07,강원,13738
2021,8,2021-08,강원,13675
2021,9,2021-09,강원,18309
2021,10,2021-10,강원,22388
2021,11,2021-11,강원,29091
2021,12,2021-12,강원,23999
2022,1,2022-01,강원,20992
2022,2,2022-02,강원,30390
2022,3,2022-03,강원,53914
2022,4,2022-04,강원,37629
2022,5,2022-05,강원,27793
2022,6,2022-06,강원,21185
2022,7,2022-07,강원,25929
2022,8,2022-08,강원,32247
2022,9,2022-09,강원,29830
2022,10,2022-10,강원,33864
2022,11,2022-11,강원,39147
2022,12,2022-12,강원,48170
2023,1,2023-01,강원,39030
2023,2,2023-02,강원,32425
2023,3,2023-03,강원,40604
2023,4,2023-04,강원,46310
2023,5,2023-05,강원,46122
2023,6,2023-06,강원,33117
2023,7,2023-07,강원,36242
2023,8,2023-08,강원,33803
2023,9,2023-09,강원,33648
2023,10,2023-10,강원,44979
2023,11,2023-11,강원,51910
2023,12,2023-12,강원,56855
2024,1,2024-01,강원,49429
2024,2,2024-02,강원,38588
2024,3,2024-03,강원,41800
2024,4,2024-04,강원,40929
2024,5,2024-05,강원,38386
2024,6,2024-06,강원,30525
2024,7,2024-07,강원,35422
2024,8,2024-08,강원,43501
2024,9,2024-09,강원,33893
2024,10,2024-10,강원,39955
2024,11,2024-11,강원,44995
2024,12,2024-12,강원,57049
2018,1,2018-01,경기,429412
2018,2,2018-02,경기,254844
2018,3,2018-03,경기,278522
2018,4,2018-04,경기,300188
2018,5,2018-05,경기,276586
2018,6,2018-06,경기,215719
2018,7,2018-07,경기,183973
2018,8,2018-08,경기,165398
2018,9,2018-09,경기,250505
2018,10,2018-10,경기,304579
2018,11,2018-11,경기,348415
2018,12,2018-12,경기,412943
2019,1,2019-01,경기,290869
2019,2,2019-02,경기,211969
2019,3,2019-03,경기,288292
2019,4,2019-04,경기,337154
2019,5,2019-05,경기,285753
2019,6,2019-06,경기,212068
2019,7,2019-07,경기,201379
2019,8,2019-08,경기,176996
2019,9,2019-09,경기,254226
2019,10,2019-10,경기,306462
2019,11,2019-11,경기,317969
2019,12,2019-12,경기,375743
2020,1,2020-01,경기,366561
2020,2,2020-02,경기,206459
2020,3,2020-03,경기,127635
2020,4,2020-04,경기,96061
2020,5,2020-05,경기,122814
2020,6,2020-06,경기,120862
2020,7,2020-07,경기,112741
2020,8,2020-08,경기,93095
2020,9,2020-09,경기,110434
2020,10,2020-10,경기,130885
2020,11,2020-11,경기,159388
2020,12,2020-12,경기,108908
2021,1,2021-01,경기,74999
2021,2,2021-02,경기,76741
2021,3,2021-03,경기,138398
2021,4,2021-04,경기,151188
2021,5,2021-05,경기,129740
2021,6,2021-06,경기,116166
2021,7,2021-07,경기,86056
2021,8,2021-08,경기,73969
2021,9,2021-09,경기,115428
2021,10,2021-10,경기,147047
2021,11,2021-11,경기,209071
2021,12,2021-12,경기,165433
2022,1,2022-01,경기,142298
2022,2,2022-02,경기,206556
2022,3,2022-03,경기,392501
2022,4,2022-04,경기,265397
2022,5,2022-05,경기,177787
2022,6,2022-06,경기,151731
2022,7,2022-07,경기,197180
2022,8,2022-08,경기,215287
2022,9,2022-09,경기,211473
2022,10,2022-10,경기,243787
2022,11,2022-11,경기,279033
2022,12,2022-12,경기,335528
2023,1,2023-01,경기,251877
2023,2,2023-02,경기,206033
2023,3,2023-03,경기,286212
2023,4,2023-04,경기,334328
2023,5,2023-05,경기,318093
2023,6,2023-06,경기,241253
2023,7,2023-07,경기,259992
2023,8,2023-08,경기,230631
2023,9,2023-09,경기,255946
2023,10,2023-10,경기,331102
2023,11,2023-11,경기,382717
2023,12,2023-12,경기,429311
2024,1,2024-01,경기,349392
2024,2,2024-02,경기,263571
2024,3,2024-03,경기,300451
2024,4,2024-04,경기,287772
2024,5,2024-05,경기,263770
2024,6,2024-06,경기,214785
2024,7,2024-07,경기,252011
2024,8,2024-08,경기,285367
2024,9,2024-09,경기,227884
2024,10,2024-10,경기,274563
2024,11,2024-11,경기,300647
2024,12,2024-12,경기,383637
2018,1,2018-01,경남,170718
2018,2,2018-02,경남,98875
2018,3,2018-03,경남,88440
2018,4,2018-04,경남,91948
2018,5,2018-05,경남,85954
2018,6,2018-06,경남,64842
2018,7,2018-07,경남,53464
2018,8,2018-08,경남,47997
2018,9,2018-09,경남,67847
2018,10,2018-10,경남,91303
2018,11,2018-11,경남,99859
2018,12,2018-12,경남,136696
2019,1,2019-01,경남,104200
2019,2,2019-02,경남,75309
2019,3,2019-03,경남,79532
2019,4,2019-04,경남,91921
2019,5,2019-05,경남,82121
2019,6,2019-06,경남,57426
2019,7,2019-07,경남,53123
2019,8,2019-08,경남,45957
2019,9,2019-09,경남,61036
2019,10,2019-10,경남,81811
2019,11,2019-11,경남,93612
2019,12,2019-12,경남,112957
2020,1,2020-01,경남,119367
2020,2,2020-02,경남,78370
2020,3,2020-03,경남,41982
2020,4,2020-04,경남,30418
2020,5,2020-05,경남,31488
2020,6,2020-06,경남,32842
2020,7,2020-07,경남,30745
2020,8,2020-08,경남,26245
2020,9,2020-09,경남,33341
2020,10,2020-10,경남,40973
2020,11,2020-11,경남,46642
2020,12,2020-12,경남,37078
2021,1,2021-01,경남,26523
2021,2,2021-02,경남,26933
2021,3,2021-03,경남,34833
2021,4,2021-04,경남,36810
2021,5,2021-05,경남,32391
2021,6,2021-06,경남,31250
2021,7,2021-07,경남,24424
2021,8,2021-08,경남,21139
2021,9,2021-09,경남,30733
2021,10,2021-10,경남,43670
2021,11,2021-11,경남,49464
2021,12,2021-12,경남,44133
2022,1,2022-01,경남,44662
2022,2,2022-02,경남,64258
2022,3,2022-03,경남,106131
2022,4,2022-04,경남,67067
2022,5,2022-05,경남,43203
2022,6,2022-06,경남,33235
2022,7,2022-07,경남,40880
2022,8,2022-08,경남,54305
2022,9,2022-09,경남,49204
2022,10,2022-10,경남,55132
2022,11,2022-11,경남,72286
2022,12,2022-12,경남,97050
2023,1,2023-01,경남,77179
2023,2,2023-02,경남,59438
2023,3,2023-03,경남,68111
2023,4,2023-04,경남,76053
2023,5,2023-05,경남,78002
2023,6,2023-06,경남,61571
2023,7,2023-07,경남,63833
2023,8,2023-08,경남,57127
2023,9,2023-09,경남,56155
2023,10,2023-10,경남,77642
2023,11,2023-11,경남,93429
2023,12,2023-12,경남,110542
2024,1,2024-01,경남,99365
2024,2,2024-02,경남,75907
2024,3,2024-03,경남,76667
2024,4,2024-04,경남,72310
2024,5,2024-05,경남,65664
2024,6,2024-06,경남,50016
2024,7,2024-07,경남,63360
2024,8,2024-08,경남,71578
2024,9,2024-09,경남,47698
2024,10,2024-10,경남,61336
2024,11,2024-11,경남,72506
2024,12,2024-12,경남,94178
2018,1,2018-01,경북,131010
2018,2,2018-02,경북,77535
2018,3,2018-03,경북,72720
2018,4,2018-04,경북,72204
2018,5,2018-05,경북,65465
2018,6,2018-06,경북,49847
2018,7,2018-07,경북,40778
2018,8,2018-08,경북,36654
2018,9,2018-09,경북,50532
2018,10,2018-10,경북,70364
2018,11,2018-11,경북,76764
2018,12,2018-12,경북,96441
2019,1,2019-01,경북,83030
2019,2,2019-02,경북,58960
2019,3,2019-03,경북,65207
2019,4,2019-04,경북,75283
2019,5,2019-05,경북,64025
2019,6,2019-06,경북,43697
2019,7,2019-07,경북,42344
2019,8,2019-08,경북,36513
2019,9,2019-09,경북,51633
2019,10,2019-10,경북,67765
2019,11,2019-11,경북,75404
2019,12,2019-12,경북,90033
2020,1,2020-01,경북,99759
2020,2,2020-02,경북,69172
2020,3,2020-03,경북,36609
2020,4,2020-04,경북,27235
2020,5,2020-05,경북,25128
2020,6,2020-06,경북,28151
2020,7,2020-07,경북,28927
2020,8,2020-08,경북,23578
2020,9,2020-09,경북,32672
2020,10,2020-10,경북,36543
2020,11,2020-11,경북,40900
2020,12,2020-12,경북,36747
2021,1,2021-01,경북,24062
2021,2,2021-02,경북,24362
2021,3,2021-03,경북,32370
2021,4,2021-04,경북,36125
2021,5,2021-05,경북,30853
2021,6,2021-06,경북,28137
2021,7,2021-07,경북,22486
