year,month,ym,sido_name,pm25_mean,pm10_mean,pm25_p90,pm10_p90,pm25_alert_days,pm10_alert_days
2018,1,2018-01,강원,21.736559139784948,41.505376344086024,39.75,70.75,5.0,0.0
2018,2,2018-02,강원,19.720238095238095,44.38095238095239,32.608333333333334,65.69166666666666,1.0,0.0
2018,3,2018-03,강원,19.137096774193548,41.64247311827957,32.916666666666664,74.25,2.0,0.0
2018,4,2018-04,강원,17.313888888888886,48.87500000000001,25.000000000000004,82.05000000000001,0.0,1.0
2018,5,2018-05,강원,15.1505376344086,37.6478494623656,25.333333333333332,62.75,0.0,0.0
2018,6,2018-06,강원,13.777777777777777,31.286111111111108,21.849999999999998,46.425000000000004,0.0,0.0
2018,7,2018-07,강원,11.435483870967742,24.169354838709673,20.583333333333332,37.25,0.0,0.0
2018,8,2018-08,강원,8.35483870967742,20.056451612903224,12.583333333333334,27.583333333333332,0.0,0.0
2018,9,2018-09,강원,7.294871794871796,19.056410256410256,11.892307692307693,29.192307692307693,0.0,0.0
2018,10,2018-10,강원,7.928039702233251,20.789081885856074,12.76923076923077,29.384615384615383,0.0,0.0
2018,11,2018-11,강원,17.246153846153845,41.17179487179487,24.184615384615384,64.34615384615384,0.0,2.0
2018,12,2018-12,강원,13.921146953405017,31.032258064516135,21.5,45.388888888888886,0.0,0.0
2019,1,2019-01,강원,25.375876577840113,46.806451612903224,36.17391304347826,59.52173913043478,5.0,1.0
2019,2,2019-02,강원,28.284226190476197,46.49107142857143,42.1,66.28333333333335,5.0,0.0
2019,3,2019-03,강원,33.88440860215054,53.181451612903224,54.625,80.20833333333333,11.0,2.0
2019,4,2019-04,강원,15.52,34.65333333333333,22.14,51.724000000000004,0.0,0.0
2019,5,2019-05,강원,21.451612903225815,44.335483870967735,30.32,59.44,1.0,0.0
2019,6,2019-06,강원,16.302666666666664,27.604,24.480000000000004,40.64800000000001,0.0,0.0
2019,7,2019-07,강원,13.69935483870968,24.80516129032258,21.52,35.28,0.0,0.0
2019,8,2019-08,강원,13.725161290322582,25.215483870967745,20.88,31.96,0.0,0.0
2019,9,2019-09,강원,8.774666666666667,19.81066666666667,13.520000000000001,26.664,0.0,0.0
2019,10,2019-10,강원,11.849032258064515,26.538064516129026,18.12,32.08,0.0,0.0
2019,11,2019-11,강원,15.822666666666667,32.68,23.532,45.224000000000025,1.0,0.0
2019,12,2019-12,강원,25.33677419354839,35.88903225806452,40.28,53.28,6.0,0.0
2020,1,2020-01,강원,22.78064516129032,33.02967741935483,39.92,50.6,4.0,0.0
2020,2,2020-02,강원,24.55285714285714,35.245714285714286,43.84,58.984,5.0,0.0
2020,3,2020-03,강원,21.165161290322583,36.5316129032258,30.36,45.32,0.0,0.0
2020,4,2020-04,강원,18.478666666666665,38.251999999999995,26.972000000000005,58.62,0.0,0.0
2020,5,2020-05,강원,14.303970223325061,28.25434243176178,22.653846153846153,44.84615384615385,0.0,0.0
2020,6,2020-06,강원,17.688888888888886,33.5074074074074,29.17037037037037,53.90740740740741,0.0,0.0
2020,7,2020-07,강원,8.890083632019117,14.897252090800476,14.666666666666666,21.074074074074073,0.0,0.0
2020,8,2020-08,강원,10.027808676307009,18.484983314794217,17.0,27.724137931034484,0.0,0.0
2020,9,2020-09,강원,10.421658986175112,17.775862068965516,16.142857142857142,23.306896551724144,0.0,0.0
2020,10,2020-10,강원,12.720430107526882,25.315738025415445,18.12121212121212,35.72727272727273,0.0,0.0
2020,11,2020-11,강원,16.783838383838386,26.71919191919191,27.542424242424243,45.84545454545455,2.0,0.0
2020,12,2020-12,강원,19.746823069403717,33.381231671554254,33.121212121212125,53.666666666666664,2.0,0.0
2021,1,2021-01,강원,17.05669599217986,35.980449657869016,29.939393939393938,75.51515151515152,1.0,1.0
2021,2,2021-02,강원,22.433982683982684,40.48268398268397,36.724242424242426,60.74848484848485,6.0,0.0
2021,3,2021-03,강원,20.85239491691105,52.72629521016617,35.878787878787875,80.6969696969697,4.0,1.0
2021,4,2021-04,강원,15.437373737373738,39.92020202020202,23.381818181818186,63.56969696969698,0.0,1.0
2021,5,2021-05,강원,,45.90224828934507,,75.15151515151516,,2.0
2021,6,2021-06,강원,,23.992929292929297,,37.56060606060606,,0.0
2021,7,2021-07,강원,,17.36852394916911,,23.90909090909091,,0.0
2021,8,2021-08,강원,8.874877810361681,18.039100684261975,13.242424242424242,25.96969696969697,0.0,0.0
2021,9,2021-09,강원,5.304040404040404,12.825252525252525,8.87575757575758,21.46666666666667,0.0,0.0
2021,10,2021-10,강원,9.440227703984823,18.532258064516125,14.205882352941176,25.5,0.0,0.0
2021,11,2021-11,강원,18.522549019607844,33.21078431372549,33.63529411764708,59.973529411764716,3.0,0.0
